Identifiant de la taxe pour le rapport particulier;Nom de la taxe;Article;Corpus;Organisme affectataire;Classification du Conseil des prélèvements obligatoires;2007;2008;2009;2010;2011;2012 (p);2013 (p)
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-1 à L. 138-9;code de la sécurité sociale;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-1 à L. 138-9;code de la sécurité sociale;Régimes des salariés et non salariés agricoles;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-10 à L. 138-19;code de la sécurité sociale;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-10 à L. 138-19;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-10 à L. 138-19;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;356;346;341;341
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-10 à L. 138-19;code de la sécurité sociale;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
16;Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques;article L. 138-10 à L. 138-19;code de la sécurité sociale;Régimes des salariés et non salariés agricoles;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 138-10 à L. 138-19;code de la sécurité sociale;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 138-10 à L. 138-19;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 138-10 à L. 138-19;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 138-10 à L. 138-19;code de la sécurité sociale;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
9931;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique du médicament;article L. 138-10 à L. 138-19;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs non salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
9931;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique du médicament;article L. 138-10 à L. 138-19;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
9931;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique du médicament;article L. 138-10 à L. 138-19;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;;;;
9931;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique du médicament;article L. 138-10 à L. 138-19;code de la sécurité sociale;Régimes des exploitants et des salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
9938;TVA brute collectée par les sociétés d'ambulance;article L. 241-2;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;0;88;90;0
9941;TVA brute collectée par les fabricants d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ;article L. 241-2;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;0;193;197;0
9942;TVA brute collectée par les fabricants de lunettes;article L. 241-2;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;0;230;236;0
9943;TVA brute collectée par les établissements et services hospitaliers ;article L. 241-2;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;0;255;261;0
9944;TVA brute collectée par les établissements et services d'hébergement médicalisé pour personnes âgées ;article L. 241-2;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;0;219;224;0
158;Contribution additionnelle à la contribution sociale de solidarité des sociétés;article L. 245.13;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 245-1 à L. 245-5-1 A;code de la sécurité sociale;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 245-1 à L. 245-5-1 A;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 245-1 à L. 245-5-1 A;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;;0;0;0
17;Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé;article L. 245-1 à L. 245-5-1 A;code de la sécurité sociale;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-1 à L.245-6;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-1 à L.245-6;code de la sécurité sociale;Haute autorité de santé;Agence de l'État;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-1 à L.245-6;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;147;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-1 à L.245-6,;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
158;Contribution additionnelle à la contribution sociale de solidarité des sociétés;article L. 245-13;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;917;981;1025;;;;
158;Contribution additionnelle à la contribution sociale de solidarité des sociétés;article L. 245-13;code de la sécurité sociale;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;954;992;1043;1063
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article L. 245-14 à L. 245-16;code de la sécurité sociale;Caisse nationale d'assurance vieillesse des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
12;Prélèvement de 2% sur les revenus du patrimoine et les produits de placement et contribution additionnelle;article L. 245-14 à L. 245-16;code de la sécurité sociale;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-5-1 à L. 245-5-6;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;;;174;174;174
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-5-1 à L. 245-5-6;code de la sécurité sociale;Haute autorité de santé;Agence de l'État;;;;;;;
18;Contribution due par les laboratoires sur leurs dépenses de publicité;article L. 245-5-1 à L. 245-5-6;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;163;;;
27;Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité;article L. 245-5-1 à L. 245-5-6;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;14;14;;;;;
26;Contribution due par les entreprises exploitant des médicaments bénéficiant d'une AMM;article L. 245-6;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;228;241;;;;;
27;Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité;article L. 245-6;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;17;;;;
27;Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité;article L. 245-6;code de la sécurité sociale;Haute autorité de santé;Agence de l'État;;;;;;;
27;Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité;article L. 245-6;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;;;25;25;25;25
2;Cotisation spéciale sur les boissons alcooliques;article L. 245-7 à L. 245-12;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Affectation initiale aux organismes de sécurité sociale;;;493;;;;
2;Cotisation spéciale sur les boissons alcooliques;article L. 245-7 à L. 245-12;code de la sécurité sociale;Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Agence de l'État;480;348;;;;;
5;Droits de consommation sur les alcools;article L. 245-7 à L. 245-12;code de la sécurité sociale;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;2111;2392;1970;2340
15;Contribution sociale de solidarité des sociétés;article L. 651-1 à L. 651-9;code de la sécurité sociale;Caisse centrale de la mutualité sociale agricole;Affectation initiale aux organismes de sécurité sociale;;;;;;;
15;Contribution sociale de solidarité des sociétés;article L. 651-1 à L. 651-9;code de la sécurité sociale;Fonds de réserve pour les retraites;Affectation initiale aux organismes de sécurité sociale;;;;;;;
15;Contribution sociale de solidarité des sociétés;article L. 651-1 à L. 651-9;code de la sécurité sociale;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
15;Contribution sociale de solidarité des sociétés;article L. 651-1 à L. 651-9;code de la sécurité sociale;Multiples (social);Affectation initiale aux organismes de sécurité sociale;;4254;;4135;4301;4519;4605
15;Contribution sociale de solidarité des sociétés;article L. 651-1 à L. 651-9;code de la sécurité sociale;Régime social des indépendants;Affectation initiale aux organismes de sécurité sociale;;;;;;;
25;Droits de plaidoirie;article L. 723-3;code de la sécurité sociale;Caisse nationale des barreaux français;Réaffectation aux organismes de sécurité sociale;13;13;13;11;8;2;10
53;Cotisation des employeurs (FNAL);article L. 834-1;code de la sécurité sociale;Fonds national d'aide au logement;Prélèvements péréquateurs;;2424;2418;2462;2608;2656;2749
918;Contribution des organismes de protection sociale complémentaire à la couverture universelle complémentaire du risque maladie;article L. 862-4;code de la sécurité sociale;Fonds de financement de la protection complémentaire de la couverture universelle du risque maladie;Agence de l'État;684;725;1791;1856;1930;1946;2004
9940;TVA brute sur les tabacs;article L.131-8;code de la sécurité sociale;Caisse nationale d'assurance maladie des travailleurs salariés;Réaffectation aux organismes de sécurité sociale;;;;3249;3495;3586;0
9935;Contribution sociale de solidarité des sociétés;article L651-1 à L. 651-9;code de la sécurité sociale;Fonds de solidarité vieillesse;Affectation initiale aux organismes de sécurité sociale;;;;;;;
9935;Contribution sociale de solidarité des sociétés;article L651-1 à L. 651-9;code de la sécurité sociale;Régimes de protection sociale des non salariés;Affectation initiale aux organismes de sécurité sociale;;;;;;;
21;Prélèvement sur les ressources de différents régimes de prestations familiales;article L. 211-10;code de l'action sociale et des familles;Union nationale des associations familiales;Contribution rendue obligatoire par l'État;24;24;24;24;24;24;24
1602;Contribution additionnelle aux prélèvements sociaux mentionnés aux articles L. 245-14 et L.245-15 du Code de la sécurité sociale;article L. 262-24;code de l'action sociale et des familles;Fonds national des solidarités actives;Prélèvements péréquateurs;;;;1205;1477;1502;1482
9884;Droit de visa de régularisation ;article L. 311-13 (§ D de l'article);code de l'entrée et du séjour des étrangers et du droit d'asile;Office français de l'immigration et de l'intégration;Agence de l'État;;;;0;9;11;12
775;Taxe applicable aux documents de circulation pour étrangers mineurs;article L. 311-13 C;code de l'entrée et du séjour des étrangers et du droit d'asile;Office français de l'immigration et de l'intégration;Agence de l'État;3;3;4;4;4;6;5
9905;Contribution forfaitaire représentative des frais de réacheminement ;article L. 626-1;code de l'entrée et du séjour des étrangers et du droit d'asile;Office français de l'immigration et de l'intégration;Agence de l'État;;;;0;0;;1
125;Redevance perçue à l’occasion de l’introduction des familles étrangères en France;article R. 421-29;code de l'entrée et du séjour des étrangers et du droit d'asile;Office français de l'immigration et de l'intégration;Agence de l'État;;;;1;1;1;1
254;Redevances pour pollution de l'eau, modernisation des réseaux de collecte, pollutions diffuses, prélèvement sur la ressource en eau, stockage d'eau en période d'étiage, obstacle sur les cours d'eau et protection du milieu aquatique;article L. 213-10;code de l'environnement;Agences de l'eau;Agence de l'État;;1852;;;;;
9983;Redevance pour pollutions diffuses;article L. 213-10-8 (§ V);code de l'environnement;Office national de l'eau et des milieux aquatiques;Agence de l'État;;;;15;64;41;41
9982;Redevances pour pollution de l'eau, redevance pour modernisation des réseaux de collecte, redevance pour pollutions diffuses, taxe pour prélèvement sur la ressource en eau, taxe pour stockage d'eau en période d'étiage, taxe pour obstacle sur les cours d'e;article L. 213-13 et L. 213-14 (§ II);code de l'environnement;Offices de l'eau (DOM);Agence de l'État;;;;13;2;23;2
280;Redevances cynégétiques;article L. 423-12;code de l'environnement;Office national de la chasse et de la faune sauvage;Agence de l'État;;72;72;70;70;70;69
279;Cotisation pêche et milieux aquatiques;article L. 434-5;code de l'environnement;Fédération nationale pour la pêche en France;Contribution rendue obligatoire par l'État;;15;20;25;25;25;25
258;Redevances biocides;article L. 522.8;code de l'environnement;Agence nationale de sécurité sanitaire, de l'alimentation, de l'environnement et du travail;Agence de l'État;2;2;1;1;0;2;0
9954;Taxe pour prélèvement sur la ressource en eau;articles L. 213-10 et L. 213-10-9;code de l'environnement;Agences de l'eau;Agence de l'État;;;;305;345;393;342
254;Redevances pour pollution de l'eau, modernisation des réseaux de collecte, pollutions diffuses, prélèvement sur la ressource en eau, stockage d'eau en période d'étiage, obstacle sur les cours d'eau et protection du milieu aquatique;articles L. 213-10, L. 213-10-1 à L. 213-10-4;code de l'environnement;Agences de l'eau;Agence de l'État;;;;1396;1575;1619;1800
254;Redevances pour pollution de l'eau, modernisation des réseaux de collecte, pollutions diffuses, prélèvement sur la ressource en eau, stockage d'eau en période d'étiage, obstacle sur les cours d'eau et protection du milieu aquatique;articles L. 213-10, L. 213-10-8 et L. 213-10-10 à L. 213-10-12;code de l'environnement;Agences de l'eau;Agence de l'État;;;;71;41;;
9895;Contributions financières des agences de l'eau à l'ONEMA;articles L. 213-9-2 §V, L 213-5;code de l'environnement;Office national de l'eau et des milieux aquatiques;Agence de l'État;108;108;108;108;108;108;150
212;Contribution pour frais de contrôle;article L. 310-12-4;code des assurances;Autorité de contrôle prudentiel;Agence de l'État;27;28;28;;;;
135;Taxes sur les primes d'assurance;article L. 421-1 à L. 421-7;code des assurances;Fonds de garantie des assurances obligatoires de dommages;Contribution rendue obligatoire par l'État;7;7;39;46;80;83;85
9864;Taxe sur les primes d'assurance;article L. 431-14;code des assurances;Fonds de compensation des risques de l'assurance-construction;Contribution rendue obligatoire par l'État;;;;;;;
135;Taxes sur les primes d'assurance;article R. 421-27 et R. 421-38;code des assurances;Fonds de garantie automobile et chasse;Agence de l'État;;;;;;;
9896;Contribution, assise sur les primes ou cotisations des contrats d'assurance, au profit du fonds de garantie des victimes d'actes terroristes et autres infractions ;articles L. 422-1 et R. 422-4;code des assurances;Fonds de garantie des victimes d'actes terroristes et autres infractions;Contribution rendue obligatoire par l'État;255;260;265;269;274;278;282
79;"Droit annuel de francisation et de navigation en Corse; droit de passeport en Corse";article 222 à 226 et 238 à 240;code des douanes;Conservatoire de l'espace littoral et des rivages lacustres;Agence de l'État;4;4;4;4;3;4;3
256;Droit de francisation et de navigation;article 223 à 225;code des douanes;Conservatoire de l'espace littoral et des rivages lacustres;Agence de l'État;;37;38;39;39;39;37
256;Droit de francisation et de navigation;article 224;code des douanes;Conservatoire de l'espace littoral et des rivages lacustres;Agence de l'État;;;;;;;
260;Taxe intérieure sur les consommations de gaz naturel;article 266 quinquies;code des douanes;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;193,7;;;;;;
261;Taxe intérieure de consommation sur les houilles, lignites et cokes;article 266 quinquies B;code des douanes;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;;;;;
262;Taxe générale sur les activités polluantes;article 266 sexies;code des douanes;Agence de l'environnement et de la maîtrise de l'énergie;Agence de l'État;;;;489;479;498;499
255;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;article 285 quater;code des douanes;Conservatoire de l'espace littoral et des rivages lacustres;Agence de l'État;;;;;;;
255;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;article 285 quater;code des douanes;Multiples (mixte);Agence de l'État;;;;;;;
255;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;article 285 quater;code des douanes;Office national des forêts;Agence de l'État;;;;;;;
255;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;article 285 quater;code des douanes;Office régional corse de l'environnement;Agence locale;;;;;;;
255;Taxe sur les passagers maritimes embarqués à destination d'espaces naturels protégés;article 285 quater;code des douanes;Parc naturel de Port-Cros;Agence de l'État;;;;;;;
9892;Cotisation au profit des caisses d’assurances d’accidents agricoles d’Alsace-Moselle;article 242;code des impôts directs et taxes assimilées applicable dans les départements du Bas-Rhin, du Haut-Rhin et de la Moselle;Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;Affectation initiale aux organismes de sécurité sociale;;;;12;12;12;13
234;Cotisations (normale et supplémentaire) des entreprises cinématographiques;article 10;code des industries cinématographiques;Centre national du cinéma et de l'image animée;Agence de l'État;;;;;;;
234;Cotisations (normale et supplémentaire) des entreprises cinématographiques;article 8 et 10;code des industries cinématographiques;Centre national du cinéma et de l'image animée;Agence de l'État;;7;;;;;
855;Taxe sur le prix des entrées aux séances organisées dans les établissements de spectacles cinématographiques;article L. 115-1 à L. 115-5;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;122;128;146;143;128;130
234;Cotisations (normale et supplémentaire) des entreprises cinématographiques;article L. 115-14 et L. 115-15;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;;;10;9;6;8
856;Taxe sur les services de télévision;article L. 115-6 à L. 115-13;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;377;;;;;
9948;Taxe sur les éditeurs et distributeurs de services de télévision (TST) - Fraction Editeurs;article L. 115-6 à L. 115-13;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;;;;309;;310
9949;Taxe sur les éditeurs et distributeurs de services de télévision (TST) - Fraction Distributeurs;article L. 115-6 à L. 115-13;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;;;;322;;229
9950;Taxe sur les éditeurs et distributeurs de services de télévision (TST);article L. 115-6 à L. 115-13;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;;;575;;583;
857;Taxe sur les ventes et les locations de vidéogrammes destinés à l'usage privé du public (taxe vidéo et VOD);article L. 116-1;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;;33;;33;32;39;32
875;Taxe et prélèvements spéciaux au titre des  films pornographiques ou d’incitation à la violence;article L. 116-2 à L. 116-4;code du cinéma et de l’image animée;Centre national du cinéma et de l'image animée;Agence de l'État;0;0;0;;0;1;
239;Redevance d'archéologie préventive;article L. 524-1 et suiv.;code du patrimoine;Fonds national pour l'archéologie préventive;Agence de l'État;;;;22;27;24;23
239;Redevance d'archéologie préventive;article L. 524-1 et suiv.;code du patrimoine;Institut national de recherche en archéologie préventive;Agence de l'État;;43,68;45,68;;;;
239;Redevance d'archéologie préventive;article L. 524-1 et suiv.;code du patrimoine;Institut national de recherches archéologiques préventives;Agence de l'État;;;;44;57;49;49
239;Redevance d'archéologie préventive;article L. 524-1 et suiv.;code du patrimoine;Multiples (hors INRAP);Agence de l'État;;21,32;;;;;
239;Redevance d'archéologie préventive;article L. 524-1 et suiv.;code du patrimoine;Multiples (mixte);Agence de l'État;;;26,32;;;;
239;Redevance d'archéologie préventive;article L. 524-1 et suiv.;code du patrimoine;Services locaux d'archéologie;Agence locale;;;;;;;
39;Taxe d'apprentissage;article L. 118-2-3;code du travail;Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;Contribution rendue obligatoire par l'État;;;;;;;
9908;Contribution des employeurs à l'association pour la gestion du régime d'assurance des créances des salariés (AGS);article L. 143-11-6;code du travail;Association pour la gestion du régime d'assurance des créances des salariés;Contribution rendue obligatoire par l'État;657;574;916;1756;1502;1421;1454
1038;Contribution des employeurs publics au fonds pour l'insertion des personnes handicapées dans la fonction publique (FIPHFP);article L. 323-8-6-1;code du travail;Établissement public administratif chargé de la gestion du fonds pour l'insertion des personnes handicapées dans la fonction publique;Agence de l'État;;;187;213;188;185;160
123;Redevance due par les employeurs de main-d'oeuvre étrangère permanente et saisonnière;article L. 341-2, L.341-9, R.341-25 et R.341-7;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
123;Redevance due par les employeurs de main-d'oeuvre étrangère permanente et saisonnière;article L. 341-2,L.341-9, R.341-25 et R 341-7;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
126;Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail;article L. 341-7, R.341-33 à R.341-35;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
126;Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail;article L. 341-7,R 341-33, 34 et 35;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
125;Redevance perçue à l’occasion de l’introduction des familles étrangères en France;article L. 341-9, R 341-9 et R 341-25;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
695;Contribution forfaitaire due par les employeurs de main d'oeuvre permanente;article L. 341-9, R. 341-9 et R. 341-25;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;;;;;;
1018;Contribution annuelle au fonds de développement pour l'insertion professionnelle des handicapés (FIPH);article L. 5212-1 et L. 5212-10 et L. 5214-1;code du travail;Association de gestion du fonds de développement pour l'insertion professionnelle des handicapés;Contribution rendue obligatoire par l'État;613;583;569;539;518;408;480
123;Redevance due par les employeurs de main-d'oeuvre étrangère permanente et saisonnière;article L. 5221-1, L.5223-1, R.5223-35;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;8;;;;;
695;Contribution forfaitaire due par les employeurs de main d'oeuvre permanente;article L. 5221-10 I;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;25;;;;;
124;Taxe applicable lors du renouvellement des autorisations de travail aux travailleurs étrangers;article L. 5221-10 II;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;17;;;;;
125;Redevance perçue à l’occasion de l’introduction des familles étrangères en France;article L. 5223-1;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;3;;;;;
735;Contribution de solidarité en faveur des travailleurs privés d'emploi;article L. 5423-26 et suivants;code du travail;Fonds de solidarité;Agence de l'État;;;;1349;1367;1336;1350
39;Taxe d'apprentissage;article L. 6241-1 et suivants;code du travail;Caisses d'assurances d'accidents agricoles d'Alsace-Moselle;Contribution rendue obligatoire par l'État;263;265;268;;;;
9968;Taxe d'apprentissage - Part du quota réservée au financement des CFA;article L. 6241-1 et suivants;code du travail;Centres de formation d'apprentis;Contribution rendue obligatoire par l'État;270;272;275;280;629;686;730
1622;Contribution de 0,1% assise sur les rémunérations retenues pour l'assiette de la taxe d'apprentissage;article L. 6241-3;code du travail;CAS Financement national du développement et de la modernisation de l'apprentissage;Affectation interne;;;0;68;117;0;0
32;Financement des congés individuels de formation des salariés sous contrats à durée déterminée CIF-CDD (1% des salaires versés, ou moins en cas d'accord de branche);article L. 6322-37;code du travail;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;;195;193;194;205;215;219
30;Participation des employeurs occupant moins de 10 salariés au développement de la formation professionnelle continue;article L. 6331-2;code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;;;578;576;581;586
34;Participation au financement de la formation des professions non salariées (à l'exception des artisans et des exploitants agricoles) correspondant à 0,15% du montant annuel du plafond de la sécurité sociale;article L. 6331-48;code du travail;Fonds d'assurance formation (FAF) des professions concernées;Contribution rendue obligatoire par l'État;;67;83;84;58;91;93
9994;Participation au financement de la formation des professions non salariées (Peche et culture) correspondant au minimum à 0,15% au du montant annuel du plafond de la SS;article L. 6331-53;code du travail;Fonds d'assurance formation (FAF) Peche et cultures marines;Contribution rendue obligatoire par l'État;;;;;0;0;0
9995;Participation au financement de la formation des professions non salariées (Entreprises du Vivant, agriculture) correspondant à 0,15% du montant annuel du plafond de la SS;article L. 6331-53;code du travail;Fonds d'assurance formation (FAF) des entrepreneurs du vivant;Contribution rendue obligatoire par l'État;37;39;41;43;45;47;49
29;Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue;article L. 6331-9;code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;2750;2901;;;;
9992;"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)";article L. 6331-9;code du travail;Multiples (association);Contribution rendue obligatoire par l'État;4264;4283;4315;4369;5167;5296;5349
9992;"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)";article L. 6331-9;code du travail;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;;;;;;;
9992;"Participation des entreprises de plus de 20 salariés au développement de la formation professionnelle continue [1,6% des rémunérations] (contrats et périodes de professionnalisation - DIF; congés de formation; plan de formation, hors CIF-CDD)";article L. 6331-9;code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;;;;;;
29;Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue;article L. 6331-9 et article L. 6331-14;code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;;;3059;3145;3145;3145
126;Contribution spéciale versée par les employeurs des étrangers sans autorisation de travail;article L. 8253-1, R.8253-1, R.8253-8, R.8253-11, R.8253-13, R.8253-14 et D.8254-11;code du travail;Office français de l'immigration et de l'intégration;Agence de l'État;;8;8;4;4;4;2
32;Financement des congés individuels de formation des salariés sous contrats à durée déterminée CIF-CDD (1% des salaires versés, ou moins en cas d'accord de branche);article L. 931-20;code du travail;Organismes paritaires agréés au titre du congé individuel de formation;Contribution rendue obligatoire par l'État;;;;;;;
29;Participation des employeurs occupant 10 salariés ou plus au développement de la formation professionnelle continue;article L. 951-1;code du travail;Organismes paritaires collecteurs agréés;Contribution rendue obligatoire par l'État;;;;;;;
