uid,tax-identifier,tax-name,article,corpus,organisme-affectataire,classification,date,montant
687,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Comités de protection des personnes,Agence de l'État,2009-01-01,0.0
688,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Comités de protection des personnes,Agence de l'État,2010-01-01,0.0
689,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Comités de protection des personnes,Agence de l'État,2011-01-01,18.0
690,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Comités de protection des personnes,Agence de l'État,2013-01-01,18.0
691,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Multiples (État),Agence de l'État,2007-01-01,16.0
692,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Multiples (État),Agence de l'État,2008-01-01,16.0
693,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Multiples (État),Agence de l'État,2009-01-01,17.0
694,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Multiples (État),Agence de l'État,2010-01-01,17.0
695,1223,"Taxe annuelle relative aux dispositifs médicaux et sur les dispositifs médicaux de diagnostic ""in vitro"" mis sur le marché français",articles L. 5221-5-2 et L. 5221-7,code de la santé publique,Multiples (État),Agence de l'État,2012-01-01,18.0
696,180,Taxe sur les salaires,article L. 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Réaffectation aux organismes de sécurité sociale,2007-01-01,10494.0
697,9981,Redevances UMTS 2G et 3G ,article L. 135-3,code de la sécurité sociale,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2010-01-01,874.0
698,9981,Redevances UMTS 2G et 3G ,article L. 135-3,code de la sécurité sociale,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2011-01-01,138.0
699,9981,Redevances UMTS 2G et 3G ,article L. 135-3,code de la sécurité sociale,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2012-01-01,-18.0
700,9981,Redevances UMTS 2G et 3G ,article L. 135-3,code de la sécurité sociale,Fonds de solidarité vieillesse,Réaffectation aux organismes de sécurité sociale,2013-01-01,57.0
701,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2010-01-01,712.0
702,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2011-01-01,739.0
703,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2012-01-01,0.0
704,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2013-01-01,0.0
705,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2007-01-01,638.0
706,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2008-01-01,682.0
707,898,Taxe sur les contributions patronales au financement de la prévoyance complémentaire,article L. 137-1 à L 137-4,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2009-01-01,704.0
708,939,Contribution sur les avantages de préretraite d’entreprise,article L. 137-10,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2010-01-01,198.0
709,939,Contribution sur les avantages de préretraite d’entreprise,article L. 137-10,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2011-01-01,198.0
710,939,Contribution sur les avantages de préretraite d’entreprise,article L. 137-10,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2012-01-01,188.0
711,939,Contribution sur les avantages de préretraite d’entreprise,article L. 137-10,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2013-01-01,183.0
712,939,Contribution sur les avantages de préretraite d’entreprise,article L. 137-10,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2008-01-01,134.0
713,939,Contribution sur les avantages de préretraite d’entreprise,article L. 137-10,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2009-01-01,156.0
714,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,article L. 137-11,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2008-01-01,25.0
715,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,article L. 137-11,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2009-01-01,26.0
716,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,article L. 137-11,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2010-01-01,48.0
717,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,article L. 137-11,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2011-01-01,111.0
718,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,article L. 137-11,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2012-01-01,114.0
719,1118,Contribution sur les régimes de retraite conditionnant la constitution de droits à prestations à l’achèvement de la carrière du bénéficiaire dans l’entreprise,article L. 137-11,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2013-01-01,177.0
720,940,Contribution sur les indemnités de mise à la retraite,article L. 137-12,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2008-01-01,209.0
721,940,Contribution sur les indemnités de mise à la retraite,article L. 137-12,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2009-01-01,398.0
722,940,Contribution sur les indemnités de mise à la retraite,article L. 137-12,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2010-01-01,222.0
723,940,Contribution sur les indemnités de mise à la retraite,article L. 137-12,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2011-01-01,47.0
724,940,Contribution sur les indemnités de mise à la retraite,article L. 137-12,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2012-01-01,39.0
725,940,Contribution sur les indemnités de mise à la retraite,article L. 137-12,code de la sécurité sociale,Caisse nationale d'assurance vieillesse des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2013-01-01,32.0
726,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2007-01-01,0.0
727,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2008-01-01,199.0
728,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2009-01-01,133.0
729,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2010-01-01,183.0
730,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2011-01-01,262.0
731,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2012-01-01,373.0
732,941,Contributions patronales et salariales sur les attributions d’options (stock-options) de souscription ou d’achat des actions et sur les attributions gratuites,article L. 137-13 et L 137-14,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2013-01-01,572.0
733,9901,Contribution salariale sur les carried-interests,article L. 137-18,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2010-01-01,0.0
734,9901,Contribution salariale sur les carried-interests,article L. 137-18,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2011-01-01,2.0
735,9901,Contribution salariale sur les carried-interests,article L. 137-18,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2012-01-01,2.0
736,9901,Contribution salariale sur les carried-interests,article L. 137-18,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2013-01-01,2.0
737,9873,Prélèvement sur les appels téléphoniques surtaxés pour les jeux télévisés et radiodiffusés,article L. 137-19,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2010-01-01,1.0
738,9873,Prélèvement sur les appels téléphoniques surtaxés pour les jeux télévisés et radiodiffusés,article L. 137-19,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2011-01-01,2.0
739,9873,Prélèvement sur les appels téléphoniques surtaxés pour les jeux télévisés et radiodiffusés,article L. 137-19,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2012-01-01,2.0
740,9873,Prélèvement sur les appels téléphoniques surtaxés pour les jeux télévisés et radiodiffusés,article L. 137-19,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2013-01-01,2.0
741,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Institut national de prévention et d'éducation pour la santé,Agence de l'État,2009-01-01,0.0
742,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Institut national de prévention et d'éducation pour la santé,Agence de l'État,2010-01-01,5.0
743,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Institut national de prévention et d'éducation pour la santé,Agence de l'État,2011-01-01,5.0
744,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Institut national de prévention et d'éducation pour la santé,Agence de l'État,2012-01-01,5.0
745,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Institut national de prévention et d'éducation pour la santé,Agence de l'État,2013-01-01,5.0
746,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2009-01-01,0.0
747,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2010-01-01,89.0
748,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2011-01-01,211.0
749,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2012-01-01,223.0
750,9751,Prélèvements sur les jeux d’argent inscrits aux art. L 137-19 à L 137-22 du Code de la sécurité sociale,article L. 137-24,code de la sécurité sociale,Régimes obligatoires d'assurance maladie,Affectation initiale aux organismes de sécurité sociale,2013-01-01,228.0
751,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'allocations familiales,Affectation initiale aux organismes de sécurité sociale,2007-01-01,892.0
752,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'allocations familiales,Affectation initiale aux organismes de sécurité sociale,2009-01-01,928.0
753,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'allocations familiales,Affectation initiale aux organismes de sécurité sociale,2011-01-01,1018.0
754,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'allocations familiales,Affectation initiale aux organismes de sécurité sociale,2012-01-01,1064.0
755,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'allocations familiales,Affectation initiale aux organismes de sécurité sociale,2013-01-01,1085.0
756,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2008-01-01,910.0
757,9898,Contribution sur les contrats d'assurance en matière de circulation de véhicules terrestres à moteur,article L. 137-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2010-01-01,946.0
758,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2007-01-01,966.0
759,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2008-01-01,947.0
760,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2009-01-01,951.0
761,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2010-01-01,969.0
762,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2011-01-01,1001.0
763,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2012-01-01,1001.0
764,182,Taxes sur les primes d'assurance automobile,article L. 137-6 et L 131-8,code de la sécurité sociale,Divers régimes de sécurité sociale,Affectation initiale aux organismes de sécurité sociale,2013-01-01,1001.0
765,16,Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques,article L. 138-1 à L. 138-9,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2008-01-01,378.0
766,16,Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques,article L. 138-10 à L. 138-19,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2010-01-01,356.0
767,16,Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques,article L. 138-10 à L. 138-19,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2011-01-01,346.0
768,16,Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques,article L. 138-10 à L. 138-19,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2012-01-01,341.0
769,16,Contribution due par les laboratoires et les grossistes répartiteurs sur les ventes en gros aux officines pharmaceutiques,article L. 138-10 à L. 138-19,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2013-01-01,341.0
770,9938,TVA brute collectée par les sociétés d'ambulance,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2010-01-01,0.0
771,9938,TVA brute collectée par les sociétés d'ambulance,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2011-01-01,88.0
772,9938,TVA brute collectée par les sociétés d'ambulance,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2012-01-01,90.0
773,9938,TVA brute collectée par les sociétés d'ambulance,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2013-01-01,0.0
774,9941,"TVA brute collectée par les fabricants d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ",article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2010-01-01,0.0
775,9941,"TVA brute collectée par les fabricants d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ",article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2011-01-01,193.0
776,9941,"TVA brute collectée par les fabricants d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ",article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2012-01-01,197.0
777,9941,"TVA brute collectée par les fabricants d'équipements d'irradiation médicale, d'équipements électromédicaux et électrothérapeutiques ",article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2013-01-01,0.0
778,9942,TVA brute collectée par les fabricants de lunettes,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2010-01-01,0.0
779,9942,TVA brute collectée par les fabricants de lunettes,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2011-01-01,230.0
780,9942,TVA brute collectée par les fabricants de lunettes,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2012-01-01,236.0
781,9942,TVA brute collectée par les fabricants de lunettes,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2013-01-01,0.0
782,9943,TVA brute collectée par les établissements et services hospitaliers ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2010-01-01,0.0
783,9943,TVA brute collectée par les établissements et services hospitaliers ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2011-01-01,255.0
784,9943,TVA brute collectée par les établissements et services hospitaliers ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2012-01-01,261.0
785,9943,TVA brute collectée par les établissements et services hospitaliers ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2013-01-01,0.0
786,9944,TVA brute collectée par les établissements et services d'hébergement médicalisé pour personnes âgées ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2010-01-01,0.0
787,9944,TVA brute collectée par les établissements et services d'hébergement médicalisé pour personnes âgées ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2011-01-01,219.0
788,9944,TVA brute collectée par les établissements et services d'hébergement médicalisé pour personnes âgées ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2012-01-01,224.0
789,9944,TVA brute collectée par les établissements et services d'hébergement médicalisé pour personnes âgées ,article L. 241-2,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Réaffectation aux organismes de sécurité sociale,2013-01-01,0.0
790,17,Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé,article L. 245-1 à L. 245-5-1 A,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2011-01-01,0.0
791,17,Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé,article L. 245-1 à L. 245-5-1 A,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2012-01-01,0.0
792,17,Contribution à la charge des laboratoires pharmaceutiques non conventionnés avec le comité économique des produits de santé,article L. 245-1 à L. 245-5-1 A,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2013-01-01,0.0
793,18,Contribution due par les laboratoires sur leurs dépenses de publicité,article L. 245-1 à L.245-6,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2008-01-01,147.0
794,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2007-01-01,917.0
795,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2008-01-01,981.0
796,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2009-01-01,1025.0
797,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2010-01-01,954.0
798,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2011-01-01,992.0
799,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2012-01-01,1043.0
800,158,Contribution additionnelle à la contribution sociale de solidarité des sociétés,article L. 245-13,code de la sécurité sociale,Fonds de solidarité vieillesse,Affectation initiale aux organismes de sécurité sociale,2013-01-01,1063.0
801,18,Contribution due par les laboratoires sur leurs dépenses de publicité,article L. 245-5-1 à L. 245-5-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2011-01-01,174.0
802,18,Contribution due par les laboratoires sur leurs dépenses de publicité,article L. 245-5-1 à L. 245-5-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2012-01-01,174.0
803,18,Contribution due par les laboratoires sur leurs dépenses de publicité,article L. 245-5-1 à L. 245-5-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2013-01-01,174.0
804,18,Contribution due par les laboratoires sur leurs dépenses de publicité,article L. 245-5-1 à L. 245-5-6,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2010-01-01,163.0
805,27,Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité,article L. 245-5-1 à L. 245-5-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2007-01-01,14.0
806,27,Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité,article L. 245-5-1 à L. 245-5-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2008-01-01,14.0
807,26,Contribution due par les entreprises exploitant des médicaments bénéficiant d'une AMM,article L. 245-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2007-01-01,228.0
808,26,Contribution due par les entreprises exploitant des médicaments bénéficiant d'une AMM,article L. 245-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2008-01-01,241.0
809,27,Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité,article L. 245-6,code de la sécurité sociale,Caisse nationale d'assurance maladie des travailleurs salariés,Affectation initiale aux organismes de sécurité sociale,2009-01-01,17.0
810,27,Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité,article L. 245-6,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2010-01-01,25.0
811,27,Contribution due par les entreprises fabriquant ou exploitant des dispositifs médicaux sur leurs dépenses de publicité,article L. 245-6,code de la sécurité sociale,Multiples (social),Affectation initiale aux organismes de sécurité sociale,2011-01-01,25.0
